"Term ID","Term Name","Term Slug"
50,Men,men
51,"Men's Baseball",mens-baseball
52,"Men's Basketball",mens-basketball
53,Women,women
54,"Women's Basketball",womens-basketball
55,"Men's Bowling",mens-bowling
56,"Women's Bowling",womens-bowling
57,"Women's Cheerleading",womens-cheerleading
58,"Men's Crew/Rowing",mens-crew-rowing
59,"Women's Crew/Rowing",womens-crew-rowing
60,"Men's Cross Country",mens-cross-country
61,"Women's Cross Country",womens-cross-country
62,"Men's Fencing",mens-fencing
63,"Women's Fencing",womens-fencing
64,"Women's Field Hockey",womens-field-hockey
65,"Men's Football",mens-football
66,"Men's Golf",mens-golf
67,"Women's Golf",womens-golf
68,"Men's Gymnastics",mens-gymnastics
69,"Women's Gymnastics",womens-gymnastics
70,"Men's Ice Hockey",mens-ice-hockey
71,"Women's Ice Hockey",womens-ice-hockey
72,"Men's Lacrosse",mens-lacrosse
73,"Women's Lacrosse",womens-lacrosse
74,"Men's Rifle",mens-rifle
75,"Women's Rifle",womens-rifle
76,"Men's Skiing",mens-skiing
77,"Women's Skiing",womens-skiing
78,"Men's Soccer",mens-soccer
79,"Women's Soccer",womens-soccer
80,"Women's Softball",womens-softball
81,"Men's Swimming &amp; Diving",mens-swimming-diving
82,"Women's Swimming &amp; Diving",womens-swimming-diving
83,"Men's Tennis",mens-tennis
84,"Women's Tennis",womens-tennis
85,"Men's Track &amp; Field",mens-track-field
86,"Women's Track &amp; Field",womens-track-field
87,"Men's Volleyball",mens-volleyball
88,"Women's Volleyball",womens-volleyball
89,"Men's Water Polo",mens-water-polo
90,"Women's Water Polo",womens-water-polo
91,"Men's Wrestling",mens-wrestling
92,"Women's Wrestling",womens-wrestling
93,"Women's Acrobatics &amp; Tumbling, in American Southwest",womens-acrobatics-tumbling-in-american-southwest
94,"Women's Acrobatics &amp; Tumbling, in Conference Carolinas",womens-acrobatics-tumbling-in-conference-carolinas
95,"Women's Acrobatics &amp; Tumbling, in Nat'l Collegiate Acrobatics &amp; Tumbling Assn.",womens-acrobatics-tumbling-in-natl-collegiate-acrobatics-tumbling-assn
96,"Men's Archery",mens-archery
97,"Women's Archery",womens-archery
98,"Women's Badminton",womens-badminton
99,"Women's Beach Volleyball",womens-beach-volleyball
100,"Men's Cycling/Biking",mens-cycling-biking
101,"Women's Cycling/Biking",womens-cycling-biking
102,"Women's Dance",womens-dance
103,"Men's Equestrian",mens-equestrian
104,"Women's Equestrian",womens-equestrian
105,"Men's Polo",mens-polo
106,"Women's Polo",womens-polo
107,"Men's Rodeo",mens-rodeo
108,"Women's Rodeo",womens-rodeo
109,"Men's Rugby",mens-rugby
110,"Women's Rugby",womens-rugby
111,"Men's Sailing",mens-sailing
112,"Women's Sailing",womens-sailing
113,"Men's Sprint Football",mens-sprint-football
114,"Men's Squash",mens-squash
115,"Women's Sqaush",womens-sqaush
116,"Women's Synchronized Swimming",womens-synchronized-swimming
117,"Men's Triathlon",mens-triathlon
118,"WoMen's Triathlon",womens-triathlon
